Principio Attivo;Descrizione Gruppo;Denominazione e Confezione;Prezzo al pubblico €;Prezzo Ex-factory €;Prezzo massimo di cessione €;Titolare AIC;"Codice 
AIC";Codice Gruppo Equivalenza;Metri cubi ossigeno 
Allergeni estratti da veleno di ape;ALLERGENI ESTRATTI DA VELENO DI APE 5 UNITA' 5ML USO PARENTERALE;ALUTARD APIS MELLIFERA*1 flaconcino 100 SQ-U/ml 5 ml, 1 flaconcino 1.000 SQ-U/ml 5 ml,1 flaconcino 10.000 SQ-U/ml 5 ml, 1 flaconcino 100.000 SQ-U/ml 5 ml;819,22;496,38;-;ALK-ABELLO' A/S;045902020;LNQ;
Allergeni estratti da veleno di ape;ALLERGENI ESTRATTI DA VELENO DI APE 100.000 SQU/ML 1 UNITA' USO PARENTERALE;ALUTARD APIS MELLIFERA*100.000 SQ U/ml in flacone;819,22;496,38;-;ALK-ABELLO' A/S;045902018;LNP;
Allergeni estratti da veleno di vespa;ALLERGENI ESTRATTI DA VELENO DI VESPA 5 UNITA' 5ML USO PARENTERALE;ALUTARD VESPULA*1 flaconcino 100 SQ-U/ml 5 ml, 1 flaconcino 1.000 SQ-U/ml 5 ml, 1 flaconcino 10.000 SQ-U/ml 5 ml, 1 flaconcino 100.000 SQ-U/ml 5 ml;819,22;496,38;-;ALK-ABELLO' A/S;045903022;LNS;
Allergeni estratti da veleno di vespa;ALLERGENI ESTRATTI DA VELENO DI VESPA 100.000 SQU/ML 1 UNITA' USO PARENTERALE;ALUTARD VESPULA*100.000 SQ U/ml in flacone;819,22;496,38;-;ALK-ABELLO' A/S;045903010;LNR;
Bevacizumab;BEVACIZUMAB 100MG 4ML 1 UNITA' USO PARENTERALE;ALYMSYS*1 flaconcino EV 100 mg 4 ml 25 mg/ml;383,51;232,38;-;MABXIENCE RESEARCH SL;049432014;AGF;
Bevacizumab;BEVACIZUMAB 400MG 16ML 1 UNITA' USO PARENTERALE;ALYMSYS*1 flaconcino EV 400 mg 16 ml 25 mg/ml;1535,94;930,65;-;MABXIENCE RESEARCH SL;049432026;AGG;
Adalimumab;ADALIMUMAB AD-BB 20MG 0,2ML 2 UNITA' USO PARENTERALE;AMGEVITA*1 siringa preriempita SC 0,2 ml 20 mg;282,51;171,18;-;AMGEN EUROPE B.V.;045317106;KPU;
Adalimumab;ADALIMUMAB 20MG 0,4ML 1 UNITA' USO PARENTERALE;AMGEVITA*1 siringa preriempita SC 0,4 ml 20 mg;318,32;192,87;-;AMGEN EUROPE B.V.;045317017;KPG;
Adalimumab;ADALIMUMAB 40MG 2 UNITA' USO PARENTERALE;AMGEVITA*2 penne preriempite SC 0,4 ml 40 mg;1130,04;684,71;-;AMGEN EUROPE B.V.;045317157;ACG;
Adalimumab;ADALIMUMAB 40MG 2 UNITA' USO PARENTERALE;AMGEVITA*2 penne preriempite sureclick SC 0,8 ml 40 mg;1273,29;771,50;-;AMGEN EUROPE B.V.;045317070;ACG;
Adalimumab;ADALIMUMAB 40MG 2 UNITA' USO PARENTERALE;AMGEVITA*2 siringhe preriempite SC 0,4 ml 40 mg;1130,04;684,71;-;AMGEN EUROPE B.V.;045317120;ACG;
Adalimumab;ADALIMUMAB 40MG 2 UNITA' USO PARENTERALE;AMGEVITA*2 siringhe preriempite SC 0,8 ml 40 mg;1273,29;771,50;-;AMGEN EUROPE B.V.;045317031;ACG;
Amikacina;AMIKACINA 500MG 10 UNITA' USO PARENTERALE;AMICASIL*10 fiale IM EV 500 mg 2 ml;30,21;18,31;-;PHARMATEX ITALIA Srl;024459137;ADO;
Amikacina;AMIKACINA 500MG 5 UNITA' USO PARENTERALE;AMIKACINA*5 fiale 0,5 g 2 ml;39,19;17,81;-;TEVA ITALIA Srl;033586037;ADP;
Amiodarone;AMIODARONE 150MG 3ML 5 UNITA' USO PARENTERALE;AMIODAR*5 fiale EV 150 mg 3 ml;4,94;2,99;-;ALFASIGMA SpA;022033029;44A;
Amiodarone;AMIODARONE 150MG 3ML 5 UNITA' USO PARENTERALE;AMIODARONE CLORIDRATO*5 fiale EV 150 mg 3 ml;6,58;3,99;-;BIOINDUSTRIA L.I.M. SpA;035462011;44A;
Amiodarone;AMIODARONE 150MG 3ML 10 UNITA' USO PARENTERALE;AMIODARONE*10 fiale EV 150 mg 3 ml;9,39;5,69;-;HIKMA FARMACEUTICA S.A.;038320014;ADS;
Amoxicillina/acido clavulanico;AMOXICILLINA+ACIDO CLAVULANICO 1.000+200MG 20ML 1 UNITA' USO PARENTERALE;AMOXICILLINA ACIDO CLAVULANICO*1 fiala EV 1.000 mg + 200 mg + 1 flaconcino solv 20 ml;3,75;2,27;-;TEVA ITALIA Srl;036966012;ADW;
Amoxicillina/acido clavulanico;AMOXICILLINA+ACIDO CLAVULANICO 2.000+200MG 1 UNITA' USO PARENTERALE;AMOXICILLINA ACIDO CLAVULANICO*1 flacone EV 2.000 mg + 200 mg;5,06;3,07;-;TEVA ITALIA Srl;036966051;ADX;
Amoxicillina/acido clavulanico;AMOXICILLINA+ACIDO CLAVULANICO 1.000+200MG 1 UNITA' USO PARENTERALE;AMOXICILLINA E ACIDO CLAVULANICO*1 flaconcino EV 1.000 mg + 200 mg;3,75;2,27;-;SANDOZ A/S;043978016;ADV;
Amoxicillina/acido clavulanico;AMOXICILLINA+ACIDO CLAVULANICO 2.000+200MG 1 UNITA' USO PARENTERALE;AMOXICILLINA E ACIDO CLAVULANICO*1 flaconcino EV 2.000 mg + 200 mg;5,06;3,07;-;SANDOZ A/S;043978081;ADX;
Amoxicillina/acido clavulanico;AMOXICILLINA+ACIDO CLAVULANICO 1.000MG + 200MG 10 UNITA' USO PARENTERALE;AMOXICILLINA E ACIDO CLAVULANICO*10 flaconcini EV 1.000 mg + 200 mg;32,95;19,96;-;SANDOZ A/S;043978030;GYG;
Amoxicillina/acido clavulanico;AMOXICILLINA+ACIDO CLAVULANICO 2.000+200MG 10 UNITA' USO PARENTERALE;AMOXICILLINA E ACIDO CLAVULANICO*10 flaconcini EV 2.000 mg + 200 mg;45,70;27,69;-;IBIGEN Srl;036766032;KHV;
Amoxicillina/acido clavulanico;AMOXICILLINA+ACIDO CLAVULANICO 2.000+200MG 10 UNITA' USO PARENTERALE;AMOXICILLINA E ACIDO CLAVULANICO*10 flaconcini EV 2.000 mg + 200 mg;45,70;27,69;-;SANDOZ A/S;043978105;KHV;
